TSP,SO2,PB,CD
45.0,0.77,5.2,0.25
62.0,1.27,6.0,0.1
61.0,0.75,7.6,0.1
54.0,1.05,11.0,0.81
61.0,2.07,17.0,1.5
80.0,1.51,13.0,0.69
98.0,0.74,12.0,0.1
125.0,1.46,9.4,0.33
99.0,0.57,8.2,0.21
103.0,0.49,6.9,0.26
75.0,0.82,7.4,0.23
58.0,1.02,5.1,0.1
85.0,0.41,8.0,0.25
46.0,1.33,25.0,0.45
121.0,1.23,11.0,0.37
98.0,0.83,14.0,0.33
85.0,2.38,9.4,0.32
74.0,2.95,7.6,0.24
88.0,3.38,8.2,0.1
83.0,1.01,5.5,0.65
72.0,1.33,11.0,0.24
114.0,5.37,8.2,2.9
107.0,0.26,19.0,0.21
87.0,0.66,11.0,0.2
64.0,0.4,6.2,0.26
70.0,0.79,3.2,0.1
73.0,3.1,13.0,0.31
58.0,0.1,1.0,0.1
61.0,0.25,4.4,0.27
99.0,1.41,5.1,0.46
63.0,0.7,3.8,0.22
72.0,0.6,11.0,0.4
77.0,0.39,9.5,0.42
77.0,0.36,8.0,0.39
69.0,0.3,9.9,0.76
66.0,0.83,11.0,0.24
64.0,0.27,11.0,0.28
61.0,0.27,9.3,0.31
69.0,0.23,8.0,0.28
66.0,0.32,11.0,0.43
45.0,0.8,12.0,0.45
54.0,0.68,11.0,0.33
43.0,0.89,9.5,0.33
50.0,0.57,13.0,0.1
49.0,0.66,8.7,0.28
46.0,0.53,5.1,0.8
23.0,0.5,2.5,0.1
34.0,0.6,6.5,0.43
34.0,0.37,13.0,0.46
75.0,0.28,19.0,0.35
64.0,0.07,8.8,0.3
70.0,0.44,8.2,0.23
67.0,0.38,11.0,0.1
73.0,0.6,6.5,0.21
78.0,0.58,11.0,0.36
69.0,0.65,7.3,0.61
72.0,0.81,11.0,0.1
94.0,0.79,13.0,0.1
98.0,0.19,12.0,0.51
57.0,0.51,14.0,0.36
39.0,0.17,6.5,0.1
44.0,0.22,4.9,0.22
53.0,0.12,7.3,0.61
32.0,0.27,7.9,0.27
45.0,0.36,16.0,0.23
26.0,0.17,5.9,0.25
30.0,0.13,5.6,0.1
23.0,0.16,6.8,0.1
29.0,0.27,15.0,0.21
74.0,0.54,16.0,0.2
28.0,0.22,10.0,0.21
26.0,0.2,6.7,0.1
39.0,0.15,8.7,0.1
39.0,0.67,5.1,0.1
36.0,0.72,5.8,0.1
33.0,0.32,6.2,0.1
14.0,0.11,2.8,0.1
28.0,0.18,4.8,0.72
46.0,0.13,8.1,0.1
44.0,0.22,5.9,0.31
40.0,0.22,1.0,0.1
43.0,0.16,7.3,0.6
60.0,0.24,18.0,0.37
66.0,0.21,10.0,0.4
49.0,0.22,7.3,0.1
95.0,0.37,24.0,0.43
89.0,0.96,11.0,0.22
78.0,0.35,8.7,0.4
58.0,0.86,5.9,0.1
32.0,0.56,9.5,0.1
35.0,0.1,4.1,0.1
40.0,0.15,2.3,0.1
59.0,0.2,9.2,0.1
43.0,0.84,18.0,0.24
34.0,1.11,12.0,0.25
45.0,1.52,30.0,0.82
45.0,1.37,16.0,0.59
54.0,0.31,6.3,0.22
43.0,0.23,5.8,0.22
41.0,3.89,5.7,0.1
37.0,0.19,6.5,0.27
25.0,0.39,10.0,0.31
29.0,0.34,17.0,0.25
16.0,0.3,4.8,0.1
36.0,0.45,21.0,0.36
56.0,0.92,21.0,0.37
38.0,0.25,9.1,0.27
13.0,0.3,2.4,0.1
14.0,0.16,1.0,0.1
21.0,0.24,4.5,0.1
8.0,0.15,2.6,0.1
6.0,0.35,4.1,0.24
29.0,9.57,8.7,0.24
35.0,10.6,12.0,0.25
53.0,9.63,15.0,0.5
5.0,0.15,8.5,0.28
25.0,1.45,15.0,0.39
44.0,1.51,20.0,0.1
79.0,0.86,35.0,0.54
16.0,0.17,11.0,1.3
21.0,0.07,6.8,0.29
39.0,0.06,7.8,0.63
53.0,0.24,17.0,0.28
57.0,2.47,18.0,0.39
28.0,0.69,19.0,0.34
31.0,0.1,27.0,0.32
3.0,0.27,12.0,0.22
37.0,1.5,20.0,0.32
12.0,0.83,10.0,0.29
13.0,0.4,10.0,0.2
13.0,0.44,16.0,0.38
3.0,0.55,8.4,0.1
24.0,0.84,3.4,0.1
18.0,0.75,6.1,0.1
45.0,3.39,11.0,0.23
56.0,3.41,21.0,0.39
63.0,3.06,25.0,0.35
15.0,0.36,2.7,0.1
10.0,0.35,6.0,0.71
49.0,1.1,5.9,0.25
56.0,2.04,10.0,0.26
33.0,2.08,4.7,0.1
28.0,1.58,1.0,0.1
28.0,1.16,3.0,0.1
57.0,9.06,9.6,0.1
67.0,5.36,8.8,0.1
95.0,4.4,1.0,0.1
110.0,6.9,1.0,0.1
33.0,10.3,2.8,0.3
30.0,6.2,11.0,0.36
93.0,20.5,23.0,0.39
52.0,9.1,20.0,0.3
39.0,19.1,6.5,1.1
43.0,15.0,28.0,0.6
33.0,12.0,14.0,0.22
24.0,15.2,8.3,0.1
18.0,11.4,3.0,0.1
29.0,2.41,1.0,0.1
8.0,16.8,4.2,0.1
39.0,17.5,12.0,0.24
32.0,1.89,1.0,0.1
29.0,1.89,1.0,0.1
23.0,5.69,1.0,0.1
41.0,12.8,13.0,0.27
16.0,13.2,9.4,0.27
12.0,9.61,8.1,0.1
26.0,11.6,2.5,0.1
35.0,11.7,9.6,0.1
38.0,20.2,10.0,0.29
10.0,6.2,6.4,0.26
32.0,13.7,14.0,0.23
23.0,4.7,7.7,0.1
37.0,2.58,3.3,0.1
41.0,6.59,8.2,0.1
41.0,4.9,6.1,0.1
75.0,31.3,30.0,0.42
35.0,11.0,15.0,0.35
17.0,14.0,13.0,0.24
63.0,31.2,32.0,0.76
52.0,22.8,15.0,0.48
67.0,29.7,10.0,0.1
20.0,5.92,6.2,0.1
33.0,16.4,19.0,0.45
23.0,7.45,11.0,0.1
19.0,10.2,11.0,0.1
34.0,9.57,8.4,0.1
35.0,14.7,11.0,0.1
25.0,34.2,21.0,0.1
4.0,3.37,2.5,0.1
11.0,12.9,10.0,0.2
24.0,5.74,5.7,0.1
33.0,5.96,6.4,0.3
9.0,4.39,3.2,0.1
9.0,5.03,1.0,0.1
15.0,2.69,5.7,0.1
27.0,7.3,14.0,0.26
29.0,10.3,15.0,0.32
15.0,3.84,4.6,0.1
24.0,16.3,13.0,0.1
27.0,8.92,1.0,0.1
2.0,3.32,2.5,0.1
12.0,4.88,1.0,0.1
25.0,17.8,23.0,0.42
55.0,8.0,22.0,0.54
6.0,8.7,3.6,0.1
4.0,1.97,3.4,0.1
3.0,2.34,2.1,0.1
2.0,4.57,2.1,0.1
2.0,9.72,3.3,0.1
6.0,5.83,1.0,0.1
6.0,1.54,5.0,0.1
30.0,13.5,13.0,0.36
11.0,3.65,2.1,0.1
8.0,4.17,1.0,0.1
16.0,6.65,2.7,0.1
29.0,3.34,1.0,0.1
31.0,4.74,6.6,0.32
36.0,8.04,18.0,0.43
67.0,15.8,32.0,0.56
28.0,4.61,9.1,0.22
9.0,3.18,2.6,0.1
20.0,3.21,6.6,0.27
10.0,1.68,5.0,0.1
20.0,2.97,7.7,0.1
28.0,2.41,13.0,0.25
36.0,8.11,28.0,0.59
23.0,4.59,4.3,0.35
25.0,2.91,5.7,0.1
18.0,1.28,1.0,0.1
22.0,2.98,8.4,0.2
25.0,4.77,7.5,0.28
27.0,3.13,5.7,0.23
55.0,5.53,21.0,0.6
34.0,4.2,13.0,0.26
59.0,5.31,13.0,0.25
54.0,8.38,14.0,0.23
55.0,11.3,18.0,0.35
41.0,4.22,16.0,0.32
31.0,4.01,7.0,0.21
24.0,3.87,5.2,0.1
35.0,4.88,19.0,0.1
28.0,2.98,8.0,0.1
56.0,2.23,6.7,0.1
55.0,4.41,6.5,0.22
69.0,7.11,25.0,0.54
74.0,5.83,21.0,0.33
64.0,6.28,37.0,0.51
36.0,1.51,7.9,0.1
23.0,0.87,2.5,0.1
36.0,6.14,18.0,0.37
36.0,5.25,14.0,0.3
27.0,1.61,8.4,0.22
71.0,1.31,6.3,0.1
103.0,5.06,13.0,0.1
78.0,3.76,14.0,0.1
48.0,10.1,20.0,0.45
42.0,5.76,12.0,0.1
43.0,8.61,6.0,0.1
56.0,6.66,21.0,0.43
62.0,10.2,32.0,0.78
44.0,4.03,24.0,0.57
59.0,9.29,20.0,0.32
94.0,5.92,24.0,0.3
15.0,0.86,6.7,0.1
40.0,3.78,16.0,0.1
67.0,5.02,28.0,0.63
16.0,1.25,12.0,0.1
31.0,1.81,1.0,0.1
65.0,4.67,17.0,0.28
35.0,0.9,2.6,0.1
36.0,1.45,7.0,0.1
49.0,4.74,4.8,0.1
23.0,1.32,5.3,0.1
28.0,2.24,13.0,0.1
22.0,1.78,7.0,0.1
29.0,2.95,9.1,0.1
23.0,1.29,9.5,0.1
25.0,0.89,3.5,0.1
31.0,7.45,5.2,0.1
21.0,4.03,2.2,0.1
17.0,2.84,4.2,0.22
21.0,3.64,8.4,0.2
62.0,6.83,21.0,0.58
34.0,8.36,14.0,0.56
32.0,7.91,7.9,0.27
54.0,9.73,18.0,0.35
31.0,10.0,5.9,0.21
77.0,3.83,12.0,0.38
107.0,7.87,18.0,0.59
120.0,13.8,18.0,0.59
87.0,7.34,28.0,0.55
39.0,6.53,9.3,0.3
16.0,2.42,6.4,0.21
29.0,1.2,8.2,0.24
33.0,0.44,9.1,0.25
38.0,5.58,13.0,0.23
48.0,4.69,17.0,0.49
23.0,0.99,6.5,0.1
30.0,0.44,4.6,0.1
73.0,4.41,15.0,0.42
111.0,5.34,21.0,0.52
145.0,4.07,24.0,0.54
265.0,10.4,20.0,0.63
147.0,4.18,17.0,0.43
119.0,6.38,14.0,0.34
104.0,2.32,11.0,0.27
76.0,2.17,7.6,0.21
84.0,3.73,6.7,0.34
71.0,1.67,11.0,0.1
59.0,1.92,11.0,0.72
102.0,2.75,41.0,1.2
57.0,1.05,15.0,0.24
56.0,0.29,11.0,0.24
59.0,0.93,14.0,0.62
44.0,2.16,4.2,0.1
51.0,2.61,4.3,0.1
57.0,2.66,6.6,0.1
90.0,0.23,2.9,0.25
316.0,0.61,9.5,0.39
184.0,0.47,8.0,0.33
239.0,0.2,4.3,0.1
266.0,0.36,3.8,0.1
33.0,0.07,4.1,0.1
55.0,0.17,7.7,0.1
